Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,0.0,0.0,0.0,2146.0,28.0,43.0,2146.0,0.0,64.70000000000002,0.0,0.0,211.42658400535583,,,,,,,,,,,,,,,,,,,,,27.180447039571813,14.263302383398592,48.61615775668135,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0,0.0,0.0,2183.0,29.0,37.0,2183.0,0.0,69.60000000000001,0.0,0.0,215.546058177948,,,,,,,,,,,,,,,,,,,,,30.07889450057779,15.086590798652102,54.5298395240066,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,0.0,0.0,2248.0,30.0,65.0,2248.0,0.0,116.60000000000001,0.0,0.0,222.8189079761505,,,,,,,,,,,,,,,,,,,,,44.49676274426005,21.00076279114126,75.73248871725377,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,171.0,1.0,171.0,2419.0,0.0,267.49999999999994,0.0,0.0,361.53057289123535,,,,,,,,,,,,,,,,,,,,,66.17773378860323,23.966505241301963,100.75406512121675,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,221.0,2.0,50.0,2469.0,0.0,88.90000000000002,0.0,0.0,367.00621700286865,,,,,,,,,,,,,,,,,,,,,36.71110749583484,17.15280090428313,63.24993622935282,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,270.0,3.0,49.0,2518.0,0.0,78.20000000000002,0.0,0.0,372.4712324142456,,,,,,,,,,,,,,,,,,,,,34.901444736728706,14.555958715810387,54.160053717956536,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,359.0,4.0,89.0,2607.0,0.0,145.5,0.0,0.0,381.968466758728,,,,,,,,,,,,,,,,,,,,,50.09233389817417,22.217014253971026,81.50023921329422,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,478.0,5.0,119.0,2726.0,0.0,179.3,0.0,0.0,394.6363995075226,,,,,,,,,,,,,,,,,,,,,57.26676001534398,22.702584340090443,80.03697087751175,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,606.0,6.0,128.0,2854.0,0.0,199.59999999999997,0.0,0.0,407.8373284339905,,,,,,,,,,,,,,,,,,,,,58.26474847108894,22.710526854070807,90.42405930120235,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,646.0,7.0,40.0,2894.0,0.0,72.10000000000001,0.0,0.0,412.3957166671753,,,,,,,,,,,,,,,,,,,,,31.634668690897616,16.075532710413263,54.74936100951987,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,746.0,8.0,100.0,2994.0,0.0,157.7,0.0,0.0,423.18450689315796,,,,,,,,,,,,,,,,,,,,,52.66957774862411,23.49256780285551,82.010847162444,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,767.0,9.0,21.0,3015.0,0.0,35.099999999999994,0.0,0.0,425.64338302612305,,,,,,,,,,,,,,,,,,,,,18.282985929144374,9.678195150943298,30.24129395997786,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,820.0,10.0,53.0,3068.0,0.0,90.80000000000001,0.0,0.0,431.446918964386,,,,,,,,,,,,,,,,,,,,,39.18342171062081,17.369681816344958,61.47973896782336,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1.0,0.0,0.0,893.0,11.0,73.0,3141.0,0.0,123.50000000000001,0.0,0.0,439.57494854927063,,,,,,,,,,,,,,,,,,,,,46.29994039261462,19.221461306029298,75.16320291510897,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1.0,0.0,0.0,936.0,12.0,43.0,3184.0,0.0,55.900000000000006,0.0,0.0,444.34876227378845,,,,,,,,,,,,,,,,,,,,,24.666881622551088,11.599468347050944,41.21710052148166,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1.0,0.0,0.0,1080.0,13.0,144.0,3328.0,0.0,225.29999999999993,0.0,0.0,459.7566854953766,,,,,,,,,,,,,,,,,,,,,64.06301133248533,22.47410689584172,89.59148189526296,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.0,0.0,0.0,1126.0,14.0,46.0,3374.0,0.0,83.10000000000001,0.0,0.0,464.8117005825043,,,,,,,,,,,,,,,,,,,,,33.57018388945431,16.03690555870839,61.775952089748756,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1.0,0.0,0.0,1166.0,15.0,40.0,3414.0,0.0,61.80000000000001,0.0,0.0,469.156866312027,,,,,,,,,,,,,,,,,,,,,27.2415427618958,13.35895869886902,46.85003410844134,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1.0,0.0,0.0,1280.0,16.0,114.0,3528.0,0.0,168.79999999999995,0.0,0.0,481.39150381088257,,,,,,,,,,,,,,,,,,,,,50.97670695097946,24.258137972933596,84.13494922706067,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1.0,0.0,0.0,1301.0,17.0,21.0,3549.0,0.0,36.8,0.0,0.0,483.7972366809845,,,,,,,,,,,,,,,,,,,,,21.832807976467706,7.66215466050212,30.840954920160446,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.0,0.0,0.0,1441.0,18.0,140.0,3689.0,0.0,229.09999999999997,0.0,0.0,498.3476047515869,,,,,,,,,,,,,,,,,,,,,65.58757122883877,23.914134481610443,94.17001254290332,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1.0,0.0,0.0,1611.0,19.0,170.0,3859.0,0.0,264.09999999999985,0.0,0.0,516.2878911495209,,,,,,,,,,,,,,,,,,,,,66.9288483544643,24.428579671635866,97.2053767831473,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.0,0.0,0.0,1635.0,20.0,24.0,3883.0,0.0,35.199999999999996,0.0,0.0,519.1363613605499,,,,,,,,,,,,,,,,,,,,,16.715247442265383,9.55338295747466,30.078085929330268,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.0,0.0,0.0,1803.0,21.0,168.0,4051.0,0.0,280.3999999999999,0.0,0.0,536.6845233440399,,,,,,,,,,,,,,,,,,,,,71.77457602915176,27.50568133934838,104.82070891426625,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1.0,0.0,0.0,1955.0,22.0,152.0,4203.0,0.0,232.69999999999987,0.0,0.0,552.6638188362122,,,,,,,,,,,,,,,,,,,,,62.06851288206723,25.018856598812807,93.98210789135149,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1.0,0.0,0.0,1998.0,23.0,43.0,4246.0,0.0,80.80000000000001,0.0,0.0,557.3660001754761,,,,,,,,,,,,,,,,,,,,,35.24000591641579,16.560704037729806,59.85229836781343,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1.0,0.0,0.0,2185.0,24.0,187.0,4433.0,0.0,287.69999999999993,0.0,0.0,577.1863896846771,,,,,,,,,,,,,,,,,,,,,69.02649515009651,23.461228742981344,96.96790033649819,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1.0,0.0,0.0,2213.0,25.0,28.0,4461.0,0.0,52.800000000000004,0.0,0.0,580.5466532707214,,,,,,,,,,,,,,,,,,,,,27.51532374890426,11.546929429579697,42.509277771094546,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.0,0.0,0.0,2329.0,26.0,116.0,4577.0,0.0,185.49999999999994,0.0,0.0,592.740237236023,,,,,,,,,,,,,,,,,,,,,57.95418178128973,22.771482801940646,87.36835071414379,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1.0,0.0,0.0,2440.0,27.0,111.0,4688.0,0.0,181.59999999999997,0.0,0.0,604.1077482700348,,,,,,,,,,,,,,,,,,,,,57.0088406560506,24.763483207102322,89.48262988102803,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1.0,0.0,0.0,2477.0,28.0,37.0,4725.0,0.0,60.4,0.0,0.0,608.2485282421112,,,,,,,,,,,,,,,,,,,,,26.620894669716396,14.765822763358281,47.02559041285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1.0,0.0,0.0,2575.0,29.0,98.0,4823.0,0.0,147.00000000000003,0.0,0.0,619.3551685810089,,,,,,,,,,,,,,,,,,,,,50.55915415863975,21.53741700897297,74.90844225494033,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1.0,0.0,0.0,2639.0,30.0,64.0,4887.0,0.0,116.50000000000001,0.0,0.0,626.3937451839447,,,,,,,,,,,,,,,,,,,,,45.28656507797122,21.608097926383692,75.39689433088235,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2.0,0.0,0.0,77.0,1.0,77.0,4964.0,0.0,130.20000000000002,0.0,0.0,772.8630156517029,,,,,,,,,,,,,,,,,,,,,49.36722403682848,19.43240512874667,75.4266858073777,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2.0,0.0,0.0,152.0,2.0,75.0,5039.0,0.0,109.30000000000001,0.0,0.0,780.9514915943146,,,,,,,,,,,,,,,,,,,,,42.724035238728455,16.94900734842664,63.11470056577644,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2.0,0.0,0.0,209.0,3.0,57.0,5096.0,0.0,84.30000000000001,0.0,0.0,787.3500921726227,,,,,,,,,,,,,,,,,,,,,34.546391957133515,16.7266012792493,56.443438250561286,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2.0,0.0,0.0,248.0,4.0,39.0,5135.0,0.0,66.0,0.0,0.0,791.7126641273499,,,,,,,,,,,,,,,,,,,,,28.132110544771123,14.226935015650382,51.06311972100169,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2.0,0.0,0.0,433.0,5.0,185.0,5320.0,0.0,287.89999999999986,0.0,0.0,810.8271894454956,,,,,,,,,,,,,,,,,,,,,69.21257290472045,25.461522579031286,99.76157146139661,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2.0,0.0,0.0,534.0,6.0,101.0,5421.0,0.0,169.3,0.0,0.0,821.6465950012207,,,,,,,,,,,,,,,,,,,,,58.20080122946012,23.78923704595069,84.77644635260272,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
